sample_id,frame_index,left_visibility,left_x,left_y,right_visibility,right_x,right_y,scene_flags,annotator_confidence,notes
karsl_test_s01_sign0174_repfirst,14,PARTIALLY_OCCLUDED,0.530,0.640,AMBIGUOUS,,,HAND_CROSSING;HAND_HAND_OCCLUSION;IDENTITY_AMBIGUOUS,LOW,The foreground hand is identifiable as subject LEFT; the covered hand boundary/identity is not fully supported by this RGB frame.
karsl_test_s01_sign0174_repfirst,15,PARTIALLY_OCCLUDED,0.530,0.640,AMBIGUOUS,,,HAND_CROSSING;HAND_HAND_OCCLUSION;IDENTITY_AMBIGUOUS,LOW,The foreground hand is identifiable as subject LEFT; the covered hand boundary/identity is not fully supported by this RGB frame.
karsl_test_s01_sign0174_repfirst,16,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,17,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,18,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,19,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,20,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,21,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,22,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,23,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,24,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,25,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,26,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,27,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,28,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,29,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,30,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,31,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,32,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s01_sign0174_repfirst,33,VISIBLE,0.520,0.630,FULLY_OCCLUDED,,,HAND_CROSSING;HAND_HAND_OCCLUSION,LOW,"Subject LEFT remains visible via the viewer-right forearm; subject RIGHT is fully hidden behind the foreground hand, with continuity but no visible hand pixels."
karsl_test_s02_sign0172_repfirst,0,VISIBLE,0.700,0.660,VISIBLE,0.340,0.680,MOTION_BLUR,MEDIUM,Both hands are visible while moving toward the centre; slight motion blur is present.
karsl_test_s02_sign0172_repfirst,1,VISIBLE,0.682,0.660,VISIBLE,0.358,0.680,MOTION_BLUR,MEDIUM,Both hands are visible while moving toward the centre; slight motion blur is present.
karsl_test_s02_sign0172_repfirst,2,VISIBLE,0.664,0.660,VISIBLE,0.376,0.680,MOTION_BLUR,MEDIUM,Both hands are visible while moving toward the centre; slight motion blur is present.
karsl_test_s02_sign0172_repfirst,3,VISIBLE,0.646,0.660,VISIBLE,0.394,0.680,MOTION_BLUR,MEDIUM,Both hands are visible while moving toward the centre; slight motion blur is present.
karsl_test_s02_sign0172_repfirst,4,VISIBLE,0.628,0.660,VISIBLE,0.412,0.680,MOTION_BLUR,MEDIUM,Both hands are visible while moving toward the centre; slight motion blur is present.
karsl_test_s02_sign0172_repfirst,5,VISIBLE,0.610,0.660,VISIBLE,0.430,0.680,MOTION_BLUR,MEDIUM,Both hands are visible while moving toward the centre; slight motion blur is present.
karsl_test_s02_sign0172_repfirst,6,VISIBLE,0.592,0.660,VISIBLE,0.448,0.680,MOTION_BLUR,MEDIUM,Both hands are visible while moving toward the centre; slight motion blur is present.
karsl_test_s02_sign0172_repfirst,7,VISIBLE,0.574,0.660,VISIBLE,0.466,0.680,MOTION_BLUR,MEDIUM,Both hands are visible while moving toward the centre; slight motion blur is present.
karsl_test_s02_sign0172_repfirst,8,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,9,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,10,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,11,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,12,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,13,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,14,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,15,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,16,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,17,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,18,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,19,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,20,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,21,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,22,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,23,PARTIALLY_OCCLUDED,0.550,0.650,PARTIALLY_OCCLUDED,0.460,0.660,HAND_HAND_OCCLUSION,MEDIUM,Both hands remain identifiable during close hand-to-hand contact; some contours overlap.
karsl_test_s02_sign0172_repfirst,24,VISIBLE,0.550,0.650,VISIBLE,0.460,0.660,,HIGH,Both physical hands are visible and separately identifiable.
karsl_test_s02_sign0172_repfirst,25,VISIBLE,0.550,0.650,VISIBLE,0.460,0.660,,HIGH,Both physical hands are visible and separately identifiable.
karsl_test_s02_sign0172_repfirst,26,VISIBLE,0.550,0.650,VISIBLE,0.460,0.660,,HIGH,Both physical hands are visible and separately identifiable.
karsl_test_s02_sign0172_repfirst,27,VISIBLE,0.550,0.650,VISIBLE,0.460,0.660,,HIGH,Both physical hands are visible and separately identifiable.
karsl_test_s02_sign0172_repfirst,28,VISIBLE,0.550,0.650,VISIBLE,0.460,0.660,,HIGH,Both physical hands are visible and separately identifiable.
karsl_test_s02_sign0172_repfirst,29,VISIBLE,0.550,0.650,VISIBLE,0.460,0.660,,HIGH,Both physical hands are visible and separately identifiable.
karsl_test_s02_sign0172_repfirst,30,VISIBLE,0.550,0.650,VISIBLE,0.460,0.660,,HIGH,Both physical hands are visible and separately identifiable.
karsl_test_s02_sign0172_repfirst,31,VISIBLE,0.550,0.650,VISIBLE,0.460,0.660,,HIGH,Both physical hands are visible and separately identifiable.
karsl_test_s02_sign0172_repfirst,32,VISIBLE,0.550,0.650,VISIBLE,0.460,0.660,,HIGH,Both physical hands are visible and separately identifiable.
karsl_test_s02_sign0172_repfirst,33,VISIBLE,0.550,0.650,VISIBLE,0.460,0.660,,HIGH,Both physical hands are visible and separately identifiable.
karsl_test_s02_sign0172_repfirst,34,VISIBLE,0.550,0.650,VISIBLE,0.460,0.660,,HIGH,Both physical hands are visible and separately identifiable.
karsl_test_s02_sign0172_repfirst,35,VISIBLE,0.550,0.650,VISIBLE,0.460,0.660,,HIGH,Both physical hands are visible and separately identifiable.
karsl_test_s02_sign0175_repfirst,0,VISIBLE,0.700,0.510,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,1,VISIBLE,0.700,0.510,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,2,VISIBLE,0.700,0.510,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,3,VISIBLE,0.700,0.510,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,4,VISIBLE,0.660,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,5,VISIBLE,0.660,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,6,VISIBLE,0.660,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,7,VISIBLE,0.660,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,8,VISIBLE,0.630,0.540,VISIBLE,0.460,0.900,FRAME_EDGE;MOTION_BLUR,MEDIUM,Active subject LEFT hand is motion-blurred; subject RIGHT hand remains visible near the lower frame edge.
karsl_test_s02_sign0175_repfirst,9,VISIBLE,0.630,0.540,VISIBLE,0.460,0.900,FRAME_EDGE;MOTION_BLUR,MEDIUM,Active subject LEFT hand is motion-blurred; subject RIGHT hand remains visible near the lower frame edge.
karsl_test_s02_sign0175_repfirst,10,VISIBLE,0.630,0.540,VISIBLE,0.460,0.900,FRAME_EDGE;MOTION_BLUR,MEDIUM,Active subject LEFT hand is motion-blurred; subject RIGHT hand remains visible near the lower frame edge.
karsl_test_s02_sign0175_repfirst,11,VISIBLE,0.630,0.540,VISIBLE,0.460,0.900,FRAME_EDGE;MOTION_BLUR,MEDIUM,Active subject LEFT hand is motion-blurred; subject RIGHT hand remains visible near the lower frame edge.
karsl_test_s02_sign0175_repfirst,12,VISIBLE,0.680,0.550,VISIBLE,0.460,0.900,FRAME_EDGE;MOTION_BLUR,MEDIUM,Active subject LEFT hand is motion-blurred; subject RIGHT hand remains visible near the lower frame edge.
karsl_test_s02_sign0175_repfirst,13,VISIBLE,0.680,0.550,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,14,VISIBLE,0.680,0.550,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,15,VISIBLE,0.680,0.550,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,16,VISIBLE,0.780,0.580,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,17,VISIBLE,0.780,0.580,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,18,VISIBLE,0.780,0.580,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,19,VISIBLE,0.780,0.580,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,20,VISIBLE,0.840,0.550,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,21,VISIBLE,0.840,0.550,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,22,VISIBLE,0.840,0.550,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,23,VISIBLE,0.840,0.550,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,24,VISIBLE,0.880,0.530,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,25,VISIBLE,0.880,0.530,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,26,VISIBLE,0.880,0.530,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,27,VISIBLE,0.880,0.530,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,28,VISIBLE,0.910,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,29,VISIBLE,0.910,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,30,VISIBLE,0.910,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,31,VISIBLE,0.910,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,32,VISIBLE,0.940,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,33,VISIBLE,0.940,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,34,VISIBLE,0.940,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,35,VISIBLE,0.940,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,36,VISIBLE,0.950,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,37,VISIBLE,0.950,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,38,VISIBLE,0.950,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,39,VISIBLE,0.950,0.520,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,40,VISIBLE,0.950,0.510,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,41,VISIBLE,0.950,0.510,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,42,VISIBLE,0.950,0.510,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,43,VISIBLE,0.950,0.510,VISIBLE,0.460,0.900,FRAME_EDGE,HIGH,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,44,VISIBLE,0.950,0.500,VISIBLE,0.460,0.900,FRAME_EDGE,MEDIUM,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,45,VISIBLE,0.950,0.500,VISIBLE,0.460,0.900,FRAME_EDGE,MEDIUM,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,46,VISIBLE,0.950,0.500,VISIBLE,0.460,0.900,FRAME_EDGE,MEDIUM,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0175_repfirst,47,VISIBLE,0.950,0.500,VISIBLE,0.460,0.900,FRAME_EDGE,MEDIUM,Two physical hands are visible; subject RIGHT rests near the lower frame edge while subject LEFT signs.
karsl_test_s02_sign0176_repfirst,0,VISIBLE,0.430,0.480,VISIBLE,0.350,0.610,,HIGH,Two physical hands are visible; no extra physical hand is present.
karsl_test_s02_sign0176_repfirst,1,VISIBLE,0.430,0.480,VISIBLE,0.350,0.610,,HIGH,Two physical hands are visible; no extra physical hand is present.
karsl_test_s02_sign0176_repfirst,2,VISIBLE,0.430,0.480,VISIBLE,0.350,0.610,,HIGH,Two physical hands are visible; no extra physical hand is present.
karsl_test_s02_sign0176_repfirst,3,VISIBLE,0.430,0.480,VISIBLE,0.350,0.610,,HIGH,Two physical hands are visible; no extra physical hand is present.
karsl_test_s02_sign0176_repfirst,4,VISIBLE,0.430,0.480,VISIBLE,0.350,0.610,,HIGH,Two physical hands are visible; no extra physical hand is present.
karsl_test_s02_sign0176_repfirst,5,VISIBLE,0.430,0.480,VISIBLE,0.350,0.610,,HIGH,Two physical hands are visible; no extra physical hand is present.
karsl_test_s02_sign0176_repfirst,6,VISIBLE,0.430,0.480,VISIBLE,0.350,0.610,,HIGH,Two physical hands are visible; no extra physical hand is present.
karsl_test_s02_sign0176_repfirst,7,VISIBLE,0.430,0.480,VISIBLE,0.350,0.610,,HIGH,Two physical hands are visible; no extra physical hand is present.
karsl_test_s02_sign0176_repfirst,8,VISIBLE,0.430,0.480,VISIBLE,0.350,0.610,,HIGH,Two physical hands are visible; no extra physical hand is present.
karsl_test_s02_sign0176_repfirst,9,VISIBLE,0.430,0.480,VISIBLE,0.350,0.610,,HIGH,Two physical hands are visible; no extra physical hand is present.
karsl_test_s02_sign0176_repfirst,10,VISIBLE,0.430,0.480,VISIBLE,0.350,0.610,,HIGH,Two physical hands are visible; no extra physical hand is present.
karsl_test_s02_sign0176_repfirst,11,VISIBLE,0.430,0.480,VISIBLE,0.350,0.610,,HIGH,Two physical hands are visible; no extra physical hand is present.
