character,sign_id,label_index,sample_id,signer_id,official_partition,repetition_id,sequence_length,selection_score,bend_valid_fraction,spread_valid_fraction,imu_valid_fraction,tracking_quality_fraction,geometry_available,pose_relative_path,tracking_relative_path,kinematics_relative_path,virtual_glove_relative_path
ز,0042,10,karsl_core28_s01_sign0042_test_rep003,01,test,rep003,21,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0042_test_rep003/wilor_raw.npz,tracking/karsl_core28_s01_sign0042_test_rep003/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0042_test_rep003/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0042_test_rep003/virtual_glove.npz
س,0043,11,karsl_core28_s01_sign0043_test_rep003,01,test,rep003,20,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0043_test_rep003/wilor_raw.npz,tracking/karsl_core28_s01_sign0043_test_rep003/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0043_test_rep003/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0043_test_rep003/virtual_glove.npz
ش,0044,12,karsl_core28_s01_sign0044_train_rep007,01,train,rep007,19,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0044_train_rep007/wilor_raw.npz,tracking/karsl_core28_s01_sign0044_train_rep007/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0044_train_rep007/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0044_train_rep007/virtual_glove.npz
ص,0045,13,karsl_core28_s03_sign0045_train_rep014,03,train,rep014,23,0.9828571428571429,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s03_sign0045_train_rep014/wilor_raw.npz,tracking/karsl_core28_s03_sign0045_train_rep014/wilor_tracked.npz,kinematics/karsl_core28_s03_sign0045_train_rep014/hand_kinematics.npz,virtual_glove/karsl_core28_s03_sign0045_train_rep014/virtual_glove.npz
ض,0046,14,karsl_core28_s01_sign0046_train_rep041,01,train,rep041,20,0.9625,1.0,0.75,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0046_train_rep041/wilor_raw.npz,tracking/karsl_core28_s01_sign0046_train_rep041/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0046_train_rep041/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0046_train_rep041/virtual_glove.npz
ط,0047,15,karsl_core28_s03_sign0047_train_rep016,03,train,rep016,19,0.995,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s03_sign0047_train_rep016/wilor_raw.npz,tracking/karsl_core28_s03_sign0047_train_rep016/wilor_tracked.npz,kinematics/karsl_core28_s03_sign0047_train_rep016/hand_kinematics.npz,virtual_glove/karsl_core28_s03_sign0047_train_rep016/virtual_glove.npz
ظ,0048,16,karsl_core28_s01_sign0048_test_rep004,01,test,rep004,20,0.9625,1.0,0.75,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0048_test_rep004/wilor_raw.npz,tracking/karsl_core28_s01_sign0048_test_rep004/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0048_test_rep004/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0048_test_rep004/virtual_glove.npz
ع,0049,17,karsl_core28_s01_sign0049_train_rep013,01,train,rep013,20,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0049_train_rep013/wilor_raw.npz,tracking/karsl_core28_s01_sign0049_train_rep013/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0049_train_rep013/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0049_train_rep013/virtual_glove.npz
غ,0050,18,karsl_core28_s01_sign0050_train_rep003,01,train,rep003,20,0.9625,1.0,0.75,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0050_train_rep003/wilor_raw.npz,tracking/karsl_core28_s01_sign0050_train_rep003/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0050_train_rep003/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0050_train_rep003/virtual_glove.npz
ف,0051,19,karsl_core28_s03_sign0051_test_rep006,03,test,rep006,24,0.9833333333333334,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s03_sign0051_test_rep006/wilor_raw.npz,tracking/karsl_core28_s03_sign0051_test_rep006/wilor_tracked.npz,kinematics/karsl_core28_s03_sign0051_test_rep006/hand_kinematics.npz,virtual_glove/karsl_core28_s03_sign0051_test_rep006/virtual_glove.npz
ق,0052,20,karsl_core28_s03_sign0052_train_rep002,03,train,rep002,19,0.9741481106612686,1.0,0.8618421052631579,1.0,1.0,True,pose/raw/karsl_core28_s03_sign0052_train_rep002/wilor_raw.npz,tracking/karsl_core28_s03_sign0052_train_rep002/wilor_tracked.npz,kinematics/karsl_core28_s03_sign0052_train_rep002/hand_kinematics.npz,virtual_glove/karsl_core28_s03_sign0052_train_rep002/virtual_glove.npz
ك,0053,21,karsl_core28_s01_sign0053_test_rep001,01,test,rep001,21,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0053_test_rep001/wilor_raw.npz,tracking/karsl_core28_s01_sign0053_test_rep001/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0053_test_rep001/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0053_test_rep001/virtual_glove.npz
ل,0054,22,karsl_core28_s01_sign0054_train_rep005,01,train,rep005,20,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0054_train_rep005/wilor_raw.npz,tracking/karsl_core28_s01_sign0054_train_rep005/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0054_train_rep005/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0054_train_rep005/virtual_glove.npz
م,0055,23,karsl_core28_s01_sign0055_train_rep010,01,train,rep010,20,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0055_train_rep010/wilor_raw.npz,tracking/karsl_core28_s01_sign0055_train_rep010/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0055_train_rep010/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0055_train_rep010/virtual_glove.npz
ن,0056,24,karsl_core28_s01_sign0056_train_rep026,01,train,rep026,19,0.9890789473684211,1.0,0.9605263157894737,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0056_train_rep026/wilor_raw.npz,tracking/karsl_core28_s01_sign0056_train_rep026/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0056_train_rep026/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0056_train_rep026/virtual_glove.npz
ه,0057,25,karsl_core28_s01_sign0057_train_rep003,01,train,rep003,20,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0057_train_rep003/wilor_raw.npz,tracking/karsl_core28_s01_sign0057_train_rep003/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0057_train_rep003/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0057_train_rep003/virtual_glove.npz
و,0058,26,karsl_core28_s01_sign0058_test_rep002,01,test,rep002,20,1.0,1.0,1.0,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0058_test_rep002/wilor_raw.npz,tracking/karsl_core28_s01_sign0058_test_rep002/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0058_test_rep002/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0058_test_rep002/virtual_glove.npz
ي,0059,27,karsl_core28_s01_sign0059_test_rep008,01,test,rep008,21,0.9625,1.0,0.75,1.0,1.0,True,pose/raw/karsl_core28_s01_sign0059_test_rep008/wilor_raw.npz,tracking/karsl_core28_s01_sign0059_test_rep008/wilor_tracked.npz,kinematics/karsl_core28_s01_sign0059_test_rep008/hand_kinematics.npz,virtual_glove/karsl_core28_s01_sign0059_test_rep008/virtual_glove.npz
